ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch
-473593.34375,-473585.25,80874.555,5599234.0,139866.9,-25.408075915925526,830
-651696.5625,-651688.5,80855.0,5185755.0,162008.6,-26.243542128514775,833
-432395.65625,-432387.56,80825.516,4953324.0,142909.44,-53.41316547354077,836
-375272.34375,-375264.25,80783.45,4255140.0,128976.34,-29.424612479584745,839
-355347.0625,-355339.0,80736.125,3852679.2,139776.66,-3.2565226204655944,842
-317231.96875,-317223.9,80668.91,3478513.5,120866.305,-14.966397261665142,845
-247932.296875,-247924.23,80575.59,2823532.0,83952.6,-30.481192765105856,848
-202587.125,-202579.08,80455.125,2315945.0,67699.75,-31.10717505001785,851
-207923.1875,-207915.16,80332.78,1995253.8,107654.56,-37.39548125307109,854
-153809.359375,-153801.34,80211.625,1626931.2,64516.836,36.31050450321154,857
-136940.640625,-136932.62,80084.81,1343409.9,67940.164,-44.52170758414299,860
-109863.7109375,-109855.72,79951.2,1110211.2,51245.477,-45.69221264221077,863
-83319.03125,-83311.05,79816.09,900464.25,32992.18,-28.40824858620779,866
-72720.203125,-72712.234,79678.64,681148.3,39260.73,-46.96592241900067,869
-59180.890625,-59172.93,79599.69,565754.75,30791.537,-22.597660874909053,872
-42148.453125,-42140.5,79532.24,394527.66,22743.541,-38.50973713883973,875
-34123.25,-34115.297,79513.18,333970.3,16939.54,-0.7503680196782243,878
-26151.71484375,-26143.762,79537.234,244099.02,14146.242,-41.072775545658686,881
-19291.67578125,-19283.71,79639.93,181551.44,10263.137,-19.88874449517538,884
-15255.904296875,-15247.924,79801.15,138792.08,8574.941,-38.896129977156505,887
-10832.8134765625,-10824.8125,80006.84,100386.84,5878.9434,-46.65129910592461,890
-8752.9052734375,-8744.879,80265.28,83438.58,4500.019,-35.86956679246839,893
-5305.8544921875,-5297.7974,80572.3,50432.1,2706.5315,-17.11136699675285,896
-3546.026611328125,-3537.9346,80920.83,34492.37,1699.7588,-21.648566915587786,899
-2506.740966796875,-2498.6094,81316.125,23829.398,1230.1294,-27.83557122544748,902
-1922.937255859375,-1914.7659,81713.75,19646.91,785.5681,-10.898025334905302,905
-1393.8050537109375,-1385.5938,82113.19,15022.594,465.98373,-17.047906651756232,908
-882.4863891601562,-874.2343,82520.484,8690.963,343.4537,-35.44814723583075,911
-707.8904418945312,-699.6006,82898.5,7033.8496,251.08939,-28.081038811062733,914
-456.8222351074219,-448.4961,83261.56,4390.6,144.32932,-22.981485177151466,917
-364.52752685546875,-356.16888,83586.58,3479.351,99.012085,-41.4628705628125,920
-233.74932861328125,-225.36424,83850.8,2013.051,52.337498,-37.12850712184778,923
-185.0420379638672,-176.63858,84034.59,1379.6008,43.675217,-42.74522177420353,926
-130.82118225097656,-122.414276,84069.09,771.88,24.313984,11.554378250383955,929
-102.50080108642578,-94.11132,83894.836,455.8657,14.088985,-24.423875327996893,932
-88.20999908447266,-79.85973,83502.69,283.94534,10.219865,-35.297030558229736,935
-79.22164154052734,-70.934906,82867.33,187.53392,6.671794,-24.032521623869687,938
-71.6650619506836,-63.466827,81982.33,104.59013,3.9297647,-10.83591376817602,941
-83.28780364990234,-75.195724,80920.766,277.62628,3.9592519,2.0944987466176936,944
-101.77376556396484,-93.77462,79991.45,560.416,3.1363807,-3.080820476913418,947
-289.0706787109375,-281.1331,79375.89,3231.5283,12.90559,-48.318973812382936,950
-197.8992156982422,-190.01007,78891.48,1908.9033,10.505468,-9.242872460895777,953
-124.74008178710938,-116.90301,78370.766,861.81323,7.1760426,2.4068361893702557,956
-186.38475036621094,-178.61145,77733.0,911.5734,93.39345,-28.96831191757242,959
-203.18353271484375,-195.48001,77035.23,1755.6887,33.910465,-19.397404888349207,962
-101.91590881347656,-94.274055,76418.516,445.51685,15.364359,-23.685815541197524,965
-119.63417053222656,-112.04953,75846.375,408.82968,45.301884,-7.4195276385763735,968
-96.54357147216797,-89.0164,75271.67,358.58594,16.28764,-0.2605387348351811,971
-93.25428771972656,-85.781975,74723.15,275.86722,19.779636,-4.79505448286292,974
-82.42402648925781,-75.00043,74236.0,197.63223,11.67004,28.698159993847085,977
