ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Pred_obs_loss,Pred_rew_loss,ELBO,loglikelihood,KL_loss,Epoch
-56.89076614379883,-55.01393,18768.367,17.145702,0.2378651,-56.49329111804931,15.155975,0.43173122,-57.53851318359375,-55.047993,24905.219,566
-57.147987365722656,-55.28546,18625.258,20.43576,0.25468406,-28.48858548999371,257.50046,1.060867,-74.35579681396484,-71.87259,24832.078,569
-56.95258712768555,-55.097958,18546.277,16.131298,0.41500556,1.416712429921913,23.736166,0.48747993,-58.13941955566406,-55.666317,24731.031,572
-59.26169967651367,-57.41104,18506.602,13.70438,4.0690284,-8.162718822828785,18.553007,0.4356843,-57.74094009399414,-55.280537,24604.031,575
-56.61458206176758,-54.76822,18463.629,11.40719,0.3931601,-24.778540299805513,12.858751,0.42297515,-57.32785415649414,-54.88662,24412.348,578
-59.783233642578125,-57.94342,18398.117,54.597176,0.76845396,-8.65601086141966,52.28784,3.9409747,-62.36510467529297,-59.93524,24298.621,581
-57.50091552734375,-55.66883,18320.863,25.164486,0.34839973,-10.48365299950377,56.41928,4.0026016,-62.67610168457031,-60.256508,24195.941,584
-57.31423568725586,-55.48545,18287.867,16.74619,0.9247031,-47.74567677581977,47.437542,2.3722684,-60.95772933959961,-58.545525,24122.062,587
-57.280879974365234,-55.455696,18251.836,21.268282,0.42301366,-11.360645074235473,29.581198,3.5812478,-60.564552307128906,-58.15532,24092.34,590
-56.79075622558594,-54.971046,18197.094,15.2100725,0.31261063,-12.22027649885548,18.657658,0.6777047,-57.848087310791016,-55.451385,23967.031,593
-56.68585968017578,-54.875957,18099.031,14.018067,0.29128838,-31.809334242803633,27.5709,1.3959334,-58.91379928588867,-56.540535,23732.66,596
-56.81553268432617,-55.017975,17975.562,11.773334,0.7256323,5.826793240145635,16.792936,0.75211,-57.719966888427734,-55.375553,23444.133,599
-57.512821197509766,-55.168453,23443.691,12.563017,0.86905015,-14.782570535093916,23.477259,0.64813036,-58.05699920654297,-55.757504,22994.977,602
